Modality,Facility_Type,Outcome,Column_Name
PITC,Clinics,Tested,Clinics -2017_HIV_Clients receiving HIV test results (at PITC)
PITC,Clinics,Tested,Clinics HIV_Clients receiving HIV test results (at PITC)
PITC,Clinics,Positive,Clinics -2017_HIV_Clients testing positive for HIV (at PITC)
PITC,Clinics,Positive,Clinics HIV_Clients testing positive for HIV (at PITC)
VCT,Clinics,Tested,Clinics -2017_HIV_Clients receiving HIV test results (at VCT)
VCT,Clinics,Tested,Clinics HIV_Clients receiving HIV test results (at VCT)
VCT,Clinics,Positive,Clinics -2017_HIV_Clients testing positive for HIV (at VCT)
VCT,Clinics,Positive,Clinics HIV_Clients testing positive for HIV (at VCT)
PITC,Health Centers,Tested,Health Centers -2017_HIV_Clients receiving HIV test results (at PITC)
PITC,Health Centers,Tested,Health Centers HIV_Clients receiving HIV test results (at PITC)
PITC,Health Centers,Positive,Health Centers -2017_HIV_Clients testing positive for HIV (at PITC)
PITC,Health Centers,Positive,Health Centers HIV_Clients testing positive for HIV (at PITC)
VCT,Health Centers,Tested,Health Centers -2017_HIV_Clients receiving HIV test results (at VCT)
VCT,Health Centers,Tested,Health Centers HIV_Clients receiving HIV test results (at VCT)
VCT,Health Centers,Positive,Health Centers -2017_HIV_Clients testing positive for HIV (at VCT)
VCT,Health Centers,Positive,Health Centers HIV_Clients testing positive for HIV (at VCT)
PITC,Hospitals,Tested,Hospitals -2017_HIV_Clients receiving HIV test results (at PITC)
PITC,Hospitals,Tested,Hospitals HIV_Clients receiving HIV test results (at PITC)
PITC,Hospitals,Positive,Hospitals -2017_HIV_Clients testing positive for HIV (at PITC)
PITC,Hospitals,Positive,Hospitals HIV_Clients testing positive for HIV (at PITC)
VCT,Hospitals,Tested,Hospitals -2017_HIV_Clients receiving HIV test results (at VCT)
VCT,Hospitals,Tested,Hospitals HIV_Clients receiving HIV test results (at VCT)
VCT,Hospitals,Positive,Hospitals -2017_HIV_Clients testing positive for HIV (at VCT)
VCT,Hospitals,Positive,Hospitals HIV_Clients testing positive for HIV (at VCT)
